Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
361;26615,96;26644,35;784,8144;3684,221;26615,96;26644,35
362;28175,88;26602,77;1727,375;1895,526;28175,88;26602,77
363;28113,99;28934,71;-4662,736;5160,768;28113,99;28934,71
364;28246,24;49978,46;-10291,88;9382,023;28246,24;49978,46
365;28438,91;49734,97;-11154,61;8717,411;28438,91;49734,97
366;50535,39;28941,03;-13864,05;11742,44;50535,39;28941,03
367;28336,15;51237,29;-15790,8;14960,02;28336,15;51237,29
368;28434,05;49032,14;-16764,64;14484,69;28434,05;49032,14
369;28300,51;72864,24;-23478,37;19668,53;28300,51;72864,24
370;50008,92;48762,53;-10292,78;8506,329;50008,92;48762,53
371;28349,4;50333,64;-4526,615;4774,399;28349,4;50333,64
372;30416,93;48781,46;-13863,07;7704,07;30416,93;48781,46
373;28179,05;48769,54;-8081,165;8497,793;28179,05;48769,54
374;28618,55;50094,45;-9417,275;9454,531;28618,55;50094,45
375;28860,94;49117,75;-5419,746;7053,847;28860,94;49117,75
376;28219,41;49389;-5784,935;5463,047;28219,41;49389
377;28756,53;49012,32;-11697,69;10405,9;28756,53;49012,32
378;27310,4;48766,91;-15626,46;10874,12;27310,4;48766,91
379;31019,42;51439,37;-23617,75;19376,39;31019,42;51439,37
380;28138,62;48821,21;-11164,33;9409,321;28138,62;48821,21
381;28176,49;50173,8;-13962,17;12951,65;28176,49;50173,8
382;28233,29;49672,2;-16638,57;15309,95;28233,29;49672,2
383;28017,53;50361,32;-10142,25;11000,67;28017,53;50361,32
384;48715,5;48940,98;-7659,883;8022,984;48715,5;48940,98
385;48777,81;48959,97;-1427,373;1730,168;48777,81;48959,97
386;26565,33;42998,56;5943,719;-5244,935;26565,33;42998,56
387;27209,21;28463,92;6572,875;-5451,03;27209,21;28463,92
388;26613,66;44976,36;5940,558;-5320,843;26613,66;44976,36
389;26745,52;27500,19;6734,475;-6501,021;26745,52;27500,19
390;26578,21;48942,77;7754,317;-7274,284;26578,21;48942,77
391;27284,39;48826,43;1471,501;-282,4685;27284,39;48826,43
392;26660,79;48806,48;3217,688;-1861,888;26660,79;48806,48
393;27923,18;27979,95;5110,339;-3842,123;27923,18;27979,95
394;48709,53;27136,98;7828,226;-6486,427;48709,53;27136,98
395;27137,02;27155,72;8408,668;-7473,544;27137,02;27155,72
396;27658,84;48724,67;7865,99;-7930,958;27658,84;48724,67
397;49710,93;27972,25;9305,321;-6502,566;49710,93;27972,25
398;48648,05;49764,15;3896,603;-3491,307;48648,05;49764,15
399;27737,88;29703,9;3876,258;-2792,282;27737,88;29703,9
400;26680,01;50230,75;10543,93;-10067,43;26680,01;50230,75
401;48741,32;26739,75;5041,55;-4160,289;48741,32;26739,75
402;29335,37;27968,03;7177,429;-5902,19;29335,37;27968,03
403;26822,38;26755;6267,935;-3815,002;26822,38;26755
